Designator,Footprint,Quantity,Value,LCSC Part #
"A1, B1, X1, Y1",SW_TH_Tactile_Omron_B3F-100x,4,~,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Right Arm,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Right Leg,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Left Leg,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Left Arm,
